geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
NW,202117,0,22,NA,NA,43087,0,51.06,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-17,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
OW,202117,0,36,NA,NA,37930,0,94.91,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-17,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
SG,202117,4,711,1,100,510734,0.78,139.21,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-17,1,0.19,33.3,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
SH,202117,1,69,1,100,82348,1.21,83.79,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-17,1,1.21,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
SO,202117,4,269,1,100,275247,1.45,97.73,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-17,4,1.45,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
SZ,202117,1,211,1,100,160480,0.62,131.48,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-17,0,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
TG,202117,5,409,1,100,279547,1.79,146.31,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-17,0,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
TI,202117,7,883,1,100,351491,1.99,251.22,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-17,3,0.85,75,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
UR,202117,0,47,NA,NA,36703,0,128.05,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-17,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
VD,202117,2,1003,1,100,805098,0.25,124.58,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-17,-3,-0.37,-60,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
VS,202117,3,664,1,100,345525,0.87,192.17,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-17,-3,-0.87,-50,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
ZG,202117,0,88,NA,NA,127642,0,68.94,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-17,-1,-0.78,-100,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
ZH,202117,10,1350,1,100,1539275,0.65,87.7,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-17,0,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
AG,202118,1,660,1,100,685845,0.15,96.23,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,-8,-1.16,-88.9,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
AI,202118,0,15,NA,NA,16128,0,93.01,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
AR,202118,0,64,NA,NA,55445,0,115.43,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,0,0,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
BE,202118,2,1070,1,100,1039474,0.19,102.94,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,-3,-0.29,-60,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
BL,202118,0,218,NA,NA,289468,0,75.31,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,-1,-0.35,-100,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
BS,202118,1,204,1,100,195844,0.51,104.16,COVID19Death,,2021-06-25_07-49-37,isoweek,2021-18,0,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
